state,homeownership,annual_income,debt_to_income,months_since_last_delinq,inquiries_last_12m,open_credit_lines,total_credit_limit,total_credit_utilized,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,balance,paid_total,paid_principal,paid_interest
CA,MORTGAGE,137000.0,14.16,0.0,5,24,489700,99129,1,7,0.0,24,10,96300,29,22,17,2,100.0,debt_consolidation,40000,36,7.35,1241.5,A,Jan-2018,35977.23,4982.34,4022.77,959.57
CA,MORTGAGE,30000.0,3.76,0.0,3,8,172525,4321,0,6,1.0,8,1,7200,9,7,2,4,100.0,major_purchase,10000,36,11.99,332.1,B,Jan-2018,8815.65,1653.84,1184.35,469.49
CA,RENT,75000.0,17.74,0.0,1,15,72903,42822,2,9,4.0,15,3,25500,19,13,4,2,100.0,debt_consolidation,36000,36,9.93,1160.44,B,Feb-2018,33390.9,3509.45,2609.1,900.35
NY,RENT,44500.0,19.85,0.0,5,6,62726,52483,2,3,5.0,6,2,10000,8,4,3,0,100.0,debt_consolidation,17000,60,20.0,450.4,D,Feb-2018,16314.84,1782.71,685.16,1097.55
GA,MORTGAGE,42000.0,11.66,0.0,3,10,143898,14360,0,6,6.0,10,3,26000,14,9,3,1,100.0,credit_card,9000,36,13.59,305.81,C,Jan-2018,8170.5,1216.44,829.5,386.94
MD,RENT,119000.0,8.64,0.0,4,12,34200,23542,2,11,5.0,12,2,3000,26,10,5,0,100.0,debt_consolidation,28000,60,26.77,851.15,E,Mar-2018,27305.18,2511.81,694.82,1816.99
NJ,RENT,63000.0,35.12,0.0,4,10,104541,72540,3,6,4.0,10,4,24700,8,7,6,0,100.0,credit_card,15000,60,16.01,364.86,C,Mar-2018,14499.17,1067.9,500.83,567.07
VA,RENT,41600.0,5.25,0.0,0,5,12800,7178,0,2,,5,3,12800,7,5,3,0,100.0,credit_card,7000,36,5.31,210.78,A,Feb-2018,6275.99,841.06,724.01,117.05
NJ,MORTGAGE,50000.0,10.8,64.0,1,5,40236,20854,0,1,7.0,5,4,29200,9,4,4,0,75.0,debt_consolidation,20000,60,21.85,550.68,D,Mar-2018,19430.21,1603.48,569.79,1033.69
MI,RENT,19719.0,3.04,31.0,1,9,18150,15586,5,2,8.0,9,2,4300,4,4,2,0,44.4,credit_card,1000,36,11.99,33.21,B,Jan-2018,881.56,163.05,118.44,44.61
TX,MORTGAGE,74500.0,21.62,0.0,0,7,97004,85097,2,2,19.0,7,3,15300,7,5,3,0,92.3,debt_consolidation,7000,36,6.08,213.21,A,Jan-2018,6102.23,1063.69,897.77,165.92
CA,RENT,50000.0,34.04,13.0,2,13,68456,30568,3,4,6.0,13,5,8300,12,10,8,0,86.4,credit_card,5000,36,19.03,183.36,D,Jan-2018,4462.89,903.58,537.11,366.47
IL,MORTGAGE,75000.0,21.52,34.0,0,14,185493,107458,5,1,15.0,14,3,32500,10,8,5,4,97.0,credit_card,30000,36,7.35,931.13,A,Jan-2018,26217.04,4692.4,3782.96,909.44
MN,MORTGAGE,67000.0,22.14,61.0,2,19,435701,84690,3,8,5.0,19,2,25500,21,14,5,5,97.2,debt_consolidation,6000,36,7.96,187.91,A,Mar-2018,5552.72,561.08,447.28,113.8
TN,OWN,80000.0,33.37,47.0,0,13,60200,47334,1,2,14.0,13,5,33500,17,12,10,0,94.4,debt_consolidation,20000,36,20.39,747.26,D,Feb-2018,18756.83,2219.12,1243.17,975.95
WA,MORTGAGE,70000.0,17.64,0.0,0,5,251365,43258,2,1,17.0,5,2,17000,7,2,2,1,100.0,home_improvement,12000,36,7.96,375.82,A,Mar-2018,11105.43,1116.85,894.57,222.28
IL,RENT,35000.0,18.42,0.0,0,8,68589,21457,1,5,13.0,8,1,12000,12,5,4,1,100.0,credit_card,5000,36,5.32,150.58,A,Jan-2018,4352.5,749.94,647.5,102.44
AL,RENT,37000.0,30.62,0.0,2,35,124982,135407,22,2,3.0,35,5,17300,19,13,11,0,100.0,debt_consolidation,15000,36,14.08,513.25,C,Jan-2018,13273.7,2521.73,1726.3,795.43
IL,RENT,114000.0,13.23,36.0,3,26,108242,90747,2,15,6.0,26,3,20900,27,23,10,0,96.9,debt_consolidation,15000,36,18.45,545.68,D,Mar-2018,14365.05,1075.98,634.95,441.03
NJ,RENT,61000.0,13.08,17.0,1,5,96084,69831,2,1,10.0,5,1,8900,9,2,1,0,81.0,debt_consolidation,13000,60,17.09,323.72,D,Jan-2018,12287.09,1606.26,712.91,893.35
LA,OWN,37000.0,37.46,28.0,2,22,293475,48821,1,2,2.0,22,6,170100,33,21,6,0,97.3,debt_consolidation,17975,36,10.9,587.63,B,Mar-2018,17122.43,1164.38,852.57,311.81
MI,RENT,41600.0,27.03,0.0,0,15,102067,31220,4,6,15.0,15,4,43300,11,11,5,0,100.0,debt_consolidation,28275,60,13.58,651.77,C,Mar-2018,27268.32,1933.98,1006.68,927.3
CA,MORTGAGE,57056.62,3.85,0.0,3,22,387758,57499,14,7,6.0,22,3,11100,7,7,4,4,100.0,vacation,11000,60,14.08,256.41,C,Feb-2018,10481.59,1004.13,518.41,485.72
IL,MORTGAGE,70000.0,25.73,44.0,1,11,271396,48009,1,3,4.0,11,3,45500,15,9,5,3,95.7,credit_card,25000,60,6.72,491.74,A,Feb-2018,23581.18,1957.63,1418.82,538.81
MI,OWN,24000.0,9.2,0.0,2,5,15400,4503,1,1,3.0,5,1,12300,6,4,1,0,100.0,debt_consolidation,3300,36,9.43,105.61,B,Mar-2018,3059.08,313.37,240.92,72.45
TX,RENT,60000.0,27.16,0.0,0,18,312344,264416,5,10,13.0,18,3,54800,22,13,6,0,100.0,credit_card,30000,60,11.99,667.19,B,Feb-2018,28508.06,2628.79,1491.94,1136.85
TX,RENT,70000.0,9.69,0.0,0,15,76838,78201,12,0,,15,2,8600,4,3,2,0,100.0,credit_card,7200,36,11.98,239.08,B,Feb-2018,6521.11,932.37,678.89,253.48
MT,MORTGAGE,57000.0,16.02,0.0,2,8,179700,30329,2,5,10.0,8,3,44700,8,5,4,2,100.0,house,30000,60,10.42,643.63,B,Jan-2018,28050.79,3183.42,1949.21,1234.21
NY,RENT,150000.0,7.05,35.0,0,8,76200,70799,2,1,21.0,8,4,14400,7,6,5,0,88.5,debt_consolidation,25000,36,11.98,830.12,B,Mar-2018,23240.95,2473.72,1759.05,714.67
ME,RENT,33000.0,27.2,0.0,0,6,48470,30449,1,2,15.0,6,3,35500,12,5,3,0,100.0,credit_card,20000,60,7.96,405.15,A,Mar-2018,19453.23,801.46,546.77,254.69
CA,RENT,152000.0,13.42,0.0,0,8,69009,60480,0,0,23.0,8,7,54800,10,7,7,0,100.0,debt_consolidation,40000,36,9.43,1280.01,B,Feb-2018,36091.52,5078.13,3908.48,1169.65
MD,RENT,50000.0,15.67,0.0,2,7,57162,33499,1,6,6.0,7,2,26500,7,6,3,0,100.0,debt_consolidation,13000,36,7.34,403.43,A,Mar-2018,12024.3,1219.86,975.7,223.99
PA,RENT,50000.0,18.19,0.0,2,10,124442,118564,4,3,5.0,10,4,20500,6,6,4,0,100.0,debt_consolidation,15000,36,14.07,513.18,C,Mar-2018,14321.44,1014.64,678.56,336.08
CA,RENT,57000.0,14.11,53.0,1,3,42000,23645,1,2,5.0,3,1,17000,3,2,1,0,75.0,debt_consolidation,27000,60,10.42,579.27,B,Feb-2018,25602.65,2395.23,1397.35,997.88
LA,MORTGAGE,63000.0,20.27,67.0,3,9,275007,32606,2,5,4.0,9,1,20000,7,6,2,1,91.7,credit_card,13000,36,7.97,407.2,A,Feb-2018,11703.72,1623.04,1296.28,326.76
CA,MORTGAGE,80000.0,10.91,21.0,2,7,548209,42661,2,6,3.0,7,2,4400,5,4,3,3,83.3,debt_consolidation,15000,60,21.45,409.61,D,Jan-2018,14266.83,2012.3,733.17,1279.13
MN,RENT,50000.0,1.8,56.0,3,4,16846,12088,1,12,1.0,4,3,5200,10,3,3,0,93.3,vacation,3000,36,21.45,113.72,D,Feb-2018,2753.1,451.3,246.9,204.4
CA,MORTGAGE,114000.0,19.66,0.0,6,14,461620,100251,2,6,3.0,14,8,77800,21,11,8,2,100.0,other,21600,60,26.77,656.6,E,Mar-2018,21064.0,1937.68,536.0,1401.68
AL,MORTGAGE,76500.0,27.48,0.0,3,10,195845,80848,3,5,6.0,10,1,5800,12,5,5,4,100.0,debt_consolidation,35000,60,20.39,934.9,D,Mar-2018,33961.99,2765.05,1038.01,1727.04
NY,RENT,72000.0,24.28,0.0,0,16,82729,49545,2,3,13.0,16,7,28500,20,13,13,0,100.0,vacation,2500,36,10.42,81.17,B,Feb-2018,2259.04,323.23,240.96,82.27
LA,RENT,112000.0,12.36,23.0,2,8,42348,24644,4,4,6.0,8,3,10100,5,4,3,0,80.0,other,4000,36,17.47,143.55,D,Mar-2018,3828.12,279.34,171.88,107.46
WI,MORTGAGE,37400.0,21.53,0.0,4,9,154632,30121,2,4,11.0,9,3,13700,9,5,5,1,100.0,credit_card,10000,60,7.34,199.63,A,Feb-2018,9441.04,794.44,558.96,235.48
CA,RENT,25000.0,9.84,0.0,1,1,6500,6420,0,0,0.0,1,1,6500,6,1,1,0,100.0,debt_consolidation,6900,36,17.09,246.32,D,Jan-2018,6138.35,1218.5,761.65,456.85
TX,MORTGAGE,100000.0,38.49,55.0,4,11,254502,106927,6,8,1.0,11,1,14000,4,4,2,2,94.7,car,6000,36,13.59,203.88,C,Jan-2018,5304.78,1010.34,695.22,315.12
NV,MORTGAGE,74500.0,1.98,0.0,1,8,205305,5507,0,1,12.0,8,3,40800,7,7,3,1,100.0,car,3000,36,6.07,91.37,A,Mar-2018,2770.26,273.1,229.74,43.36
CT,MORTGAGE,70000.0,11.06,34.0,2,17,181197,23181,2,3,7.0,17,6,22500,16,13,7,3,96.7,debt_consolidation,12000,36,9.44,384.06,B,Jan-2018,10827.62,1529.95,1172.38,357.57
SC,RENT,79000.0,29.17,0.0,2,16,135468,86207,8,3,9.0,16,5,58400,8,8,6,0,100.0,debt_consolidation,30000,60,25.82,895.02,E,Jan-2018,28697.54,4389.03,1302.46,3086.57
CO,RENT,73000.0,12.13,67.0,2,7,474518,65723,2,7,4.0,7,4,17500,14,4,4,1,94.9,credit_card,12000,36,10.41,389.53,B,Feb-2018,11136.26,1179.0,863.74,315.26
OR,RENT,25000.0,7.06,0.0,0,2,6500,6460,0,1,,2,2,6500,3,2,2,0,100.0,home_improvement,6000,36,12.61,201.04,C,Mar-2018,5581.66,598.92,418.34,180.58
NC,MORTGAGE,86000.0,2.96,0.0,1,2,21400,3479,0,3,5.0,2,1,10400,5,2,2,1,100.0,car,6500,36,6.71,199.85,A,Mar-2018,6006.74,597.13,493.26,103.87
FL,RENT,33000.0,5.78,0.0,0,9,19900,5546,0,5,,9,2,6600,12,9,5,0,100.0,car,6000,36,10.42,194.79,B,Jan-2018,5274.05,965.27,725.95,239.32
AZ,RENT,75000.0,32.86,47.0,4,8,176455,64451,5,3,3.0,8,1,6500,5,2,1,3,76.5,credit_card,7500,36,18.06,271.37,D,Feb-2018,6851.56,1070.43,648.44,421.99
NY,RENT,45000.0,10.6,0.0,1,7,46100,15478,1,4,5.0,7,3,35400,19,6,5,0,100.0,credit_card,10000,36,6.08,304.59,A,Feb-2018,8976.56,1214.98,1023.44,191.54
NJ,RENT,114000.0,11.2,51.0,0,7,57475,40907,1,3,19.0,7,5,20100,8,6,6,0,92.3,credit_card,27500,36,7.97,861.37,A,Jan-2018,24757.94,3433.3,2742.06,691.24
CO,RENT,45000.0,16.11,0.0,2,3,31082,28080,1,3,10.0,3,1,4500,3,2,2,0,100.0,debt_consolidation,6000,36,15.04,208.11,C,Mar-2018,4879.78,1319.32,1120.22,199.1
WI,RENT,55000.0,23.35,7.0,1,20,73554,50831,10,4,9.0,20,7,20600,10,9,8,0,97.6,credit_card,2500,36,17.09,89.25,D,Jan-2018,2224.02,441.5,275.98,165.52
MI,RENT,36000.0,4.87,32.0,7,2,6250,1566,1,2,1.0,2,0,0,3,1,1,0,75.0,small_business,7000,36,20.0,260.15,D,Feb-2018,6430.33,1040.09,569.67,440.42
CA,RENT,120000.0,8.25,0.0,0,14,50774,14393,2,3,18.0,14,6,26300,14,12,9,0,100.0,debt_consolidation,8000,36,9.44,256.04,B,Feb-2018,7218.41,1017.87,781.59,236.28
AR,OWN,42000.0,16.49,0.0,1,7,26675,7312,1,1,8.0,7,3,12500,7,6,5,0,100.0,other,12000,60,15.04,285.74,C,Mar-2018,11588.87,837.17,411.13,426.04
MD,MORTGAGE,79500.0,16.05,12.0,1,14,421811,46483,4,7,0.0,14,3,8300,24,8,7,3,81.1,debt_consolidation,15000,60,20.39,400.68,D,Mar-2018,14705.91,767.38,294.09,473.29
CA,RENT,42000.0,5.83,0.0,1,9,18800,5534,0,6,11.0,9,4,11800,9,9,7,0,100.0,debt_consolidation,4000,36,7.97,125.3,A,Jan-2018,3499.73,622.07,500.27,121.8
FL,RENT,35000.0,21.5,74.0,2,10,30795,18837,2,2,4.0,10,2,6000,14,8,5,1,95.0,other,6500,36,11.98,215.84,B,Mar-2018,6042.62,638.87,457.38,181.49
NJ,OWN,250000.0,2.58,0.0,2,9,72300,14635,1,6,2.0,9,2,56800,13,7,2,2,100.0,home_improvement,40000,36,6.07,1218.15,A,Mar-2018,37963.23,2409.32,2036.77,372.55
NC,RENT,69000.0,11.83,60.0,0,5,47422,29655,1,7,18.0,5,4,19900,6,4,4,0,91.7,vacation,10000,36,9.44,320.05,B,Mar-2018,9270.14,954.91,729.86,225.05
FL,RENT,69200.0,5.03,57.0,0,10,17700,5276,0,4,,10,2,11700,19,10,4,0,90.5,medical,15000,36,9.43,480.01,B,Mar-2018,13905.04,1432.17,1094.96,337.21
IL,MORTGAGE,35000.0,10.67,15.0,3,10,122900,7527,0,5,6.0,10,2,6800,11,9,7,2,94.4,home_improvement,12000,60,21.85,330.41,D,Feb-2018,11539.98,1307.07,460.02,847.05
FL,MORTGAGE,220000.0,7.52,0.0,1,10,285908,57734,2,4,11.0,10,4,9700,13,7,6,5,100.0,debt_consolidation,24000,60,11.99,533.75,B,Feb-2018,22806.46,2119.01,1193.54,925.47
CO,RENT,68000.0,17.25,32.0,2,13,68550,37396,3,3,11.0,13,3,24000,21,10,5,4,86.5,debt_consolidation,15000,60,10.42,321.82,B,Feb-2018,14223.91,1269.91,776.09,493.82
CA,RENT,50000.0,37.73,6.0,3,16,179500,124323,4,5,8.0,16,4,48300,20,12,5,0,94.7,credit_card,15000,36,13.59,509.69,C,Feb-2018,13968.96,1585.7,1031.04,554.66
IN,MORTGAGE,60000.0,16.12,0.0,1,7,195174,32843,2,5,3.0,7,2,25200,6,4,2,5,100.0,debt_consolidation,10000,36,7.35,310.38,A,Jan-2018,8996.09,1237.44,1003.91,233.53
CA,RENT,35000.0,10.8,0.0,0,6,216259,7957,0,2,15.0,6,3,12900,10,5,4,1,100.0,car,8000,36,6.71,245.96,A,Mar-2018,7596.42,488.94,403.58,85.36
CT,MORTGAGE,52000.0,17.75,0.0,2,7,41537,16079,1,2,6.0,7,4,12700,7,6,5,0,100.0,debt_consolidation,6300,36,9.44,201.64,B,Feb-2018,5684.46,803.26,615.54,187.72
AR,MORTGAGE,24000.0,18.85,5.0,2,11,98174,14566,3,3,4.0,11,3,23900,8,7,7,1,87.5,home_improvement,4500,36,6.72,138.38,A,Jan-2018,4043.46,551.84,456.54,95.3
AZ,RENT,52000.0,28.5,0.0,5,22,154090,66371,2,12,2.0,22,5,80100,30,20,7,0,100.0,debt_consolidation,12000,60,15.05,285.8,C,Feb-2018,11448.53,1123.13,551.47,571.66
PA,MORTGAGE,175000.0,14.8,0.0,1,18,486240,62775,3,5,3.0,18,7,72800,17,14,7,1,100.0,debt_consolidation,16000,36,6.72,491.99,A,Feb-2018,14376.87,1961.99,1623.13,338.86
TN,OWN,120000.0,6.78,0.0,0,10,460292,20114,1,2,,10,4,54900,17,8,5,3,100.0,debt_consolidation,24000,36,5.32,722.76,A,Jan-2018,20890.75,3606.71,3109.25,497.46
FL,OWN,62000.0,13.53,9.0,3,15,28400,15621,2,5,2.0,15,5,12300,18,13,8,0,57.1,debt_consolidation,15000,36,17.47,538.31,D,Feb-2018,13692.04,2138.68,1307.96,830.72
IN,MORTGAGE,45000.0,16.83,0.0,2,8,21400,17007,1,2,9.0,8,5,11100,8,7,5,0,100.0,debt_consolidation,15000,36,15.05,520.35,C,Jan-2018,13296.68,2589.21,1703.32,885.89
OH,OWN,35000.0,16.05,0.0,0,8,28900,19011,0,1,19.0,8,4,20700,8,8,5,0,100.0,credit_card,14000,36,10.91,457.75,B,Jan-2018,11837.49,2744.06,2162.51,581.55
NY,RENT,43000.0,19.15,29.0,3,4,36832,18236,1,2,7.0,4,0,0,7,2,0,0,78.6,other,35000,60,21.45,955.75,D,Feb-2018,33643.67,3781.29,1356.33,2424.96
GA,MORTGAGE,114000.0,10.78,0.0,1,13,423289,29845,1,2,12.0,13,4,54200,13,11,7,2,100.0,home_improvement,12000,36,5.32,361.38,A,Jan-2018,9353.05,2882.17,2646.95,235.22
CA,MORTGAGE,388000.0,8.93,44.0,0,8,100722,65573,1,2,18.0,8,3,23400,8,5,3,2,64.7,debt_consolidation,35000,36,12.62,1172.9,C,Feb-2018,31729.59,4667.06,3270.41,1396.65
PA,MORTGAGE,65000.0,12.37,0.0,5,9,34880,17737,1,9,0.0,9,5,10800,11,8,8,0,100.0,debt_consolidation,10000,36,12.61,335.07,C,Mar-2018,9537.61,656.13,462.39,193.74
NY,RENT,30000.0,3.85,31.0,1,7,8500,2068,0,3,6.0,7,1,4000,9,7,4,0,88.9,debt_consolidation,5000,36,10.91,163.49,B,Jan-2018,4399.27,811.39,600.73,210.66
TN,MORTGAGE,90000.0,12.5,0.0,2,9,287095,32334,1,4,11.0,9,2,45300,17,7,3,3,100.0,debt_consolidation,36500,36,5.32,1099.19,A,Jan-2018,32725.5,4456.09,3774.5,681.59
IN,MORTGAGE,55000.0,1.64,0.0,1,10,109277,2964,0,6,3.0,10,2,22600,10,9,2,1,100.0,other,4800,36,7.96,150.33,A,Mar-2018,4440.25,448.75,359.75,89.0
MN,MORTGAGE,48000.0,18.65,5.0,2,8,159486,32041,2,4,0.0,8,4,18600,6,5,5,1,92.3,other,2400,36,13.58,81.54,C,Mar-2018,2235.01,242.81,164.99,77.82
AR,RENT,50000.0,23.46,0.0,1,8,59240,31856,2,2,10.0,8,3,19300,9,6,5,0,100.0,medical,6000,36,7.35,186.23,A,Feb-2018,5396.56,740.02,603.44,136.58
FL,MORTGAGE,71422.0,14.96,22.0,0,9,213440,28523,0,1,,9,2,17100,15,7,7,2,70.8,debt_consolidation,20000,36,7.97,626.46,A,Jan-2018,17498.86,3123.44,2501.14,622.3
MD,MORTGAGE,77000.0,12.23,12.0,0,9,264450,26926,1,3,13.0,9,3,20900,11,7,4,1,88.9,debt_consolidation,24000,36,10.42,779.16,B,Jan-2018,21687.05,3102.75,2312.95,789.8
NY,RENT,42000.0,13.96,0.0,0,12,39000,18919,2,3,17.0,12,4,25500,11,10,4,0,100.0,credit_card,15000,36,6.71,461.18,A,Mar-2018,13861.74,1372.36,1138.26,234.1
VA,MORTGAGE,80000.0,10.4,0.0,0,8,305523,13157,1,1,16.0,8,2,39000,10,6,3,4,100.0,home_improvement,20000,36,5.31,602.21,A,Mar-2018,18452.04,1800.73,1547.96,252.77
FL,MORTGAGE,82000.0,25.76,44.0,1,11,279831,49092,3,6,0.0,11,4,11800,7,7,5,1,94.7,debt_consolidation,7500,36,25.82,301.47,E,Jan-2018,6768.73,1496.59,731.27,765.32
MA,MORTGAGE,85600.0,37.87,74.0,1,12,499591,96351,3,4,2.0,12,5,55800,16,8,6,1,96.3,home_improvement,14800,36,18.06,535.51,D,Jan-2018,13188.36,2647.85,1611.64,1036.21
NJ,RENT,78000.0,12.31,45.0,1,9,59764,29902,2,4,5.0,9,5,21000,18,7,6,0,90.9,credit_card,20000,36,9.44,640.1,B,Jan-2018,17547.89,3190.01,2452.11,737.9
CT,RENT,90000.0,21.29,35.0,1,12,113941,76824,8,4,10.0,12,4,34200,4,4,4,0,94.7,debt_consolidation,10000,36,19.03,366.72,D,Jan-2018,8734.68,2002.46,1265.32,737.14
UT,MORTGAGE,68000.0,20.76,0.0,2,19,264909,40287,3,5,2.0,19,3,30600,27,15,5,3,100.0,home_improvement,22000,36,5.32,662.53,A,Jan-2018,19150.7,3306.15,2849.3,456.85
SC,MORTGAGE,60000.0,0.88,50.0,6,5,5300,117,0,3,0.0,5,2,3300,5,5,2,0,83.3,credit_card,10000,36,11.99,332.1,B,Feb-2018,9057.25,1321.74,942.75,378.99
CA,RENT,54600.0,20.44,15.0,0,4,41342,12875,2,1,15.0,4,2,9600,11,2,2,0,69.2,debt_consolidation,13000,36,7.96,407.14,A,Mar-2018,12030.87,1198.43,969.13,229.3
OH,MORTGAGE,70000.0,26.11,0.0,1,8,185630,69264,1,3,5.0,8,3,27500,12,5,3,3,100.0,credit_card,20000,60,9.92,424.16,B,Mar-2018,19217.08,1261.46,782.92,478.54
OH,OWN,34000.0,15.81,16.0,2,12,39900,11061,1,4,10.0,12,3,19000,17,11,6,1,83.3,debt_consolidation,12000,36,13.58,407.69,C,Feb-2018,10893.83,1562.87,1106.17,456.7
NJ,RENT,55000.0,28.19,0.0,1,6,80747,68425,2,3,2.0,6,2,13800,6,4,2,0,100.0,credit_card,12000,36,7.34,372.4,A,Mar-2018,11097.5,1112.31,902.5,209.81
LA,OWN,81000.0,18.5,62.0,12,38,93778,16303,3,29,0.0,38,8,36900,49,34,17,0,80.6,home_improvement,12000,36,9.43,384.01,B,Mar-2018,11124.02,1139.46,875.98,263.48
CO,MORTGAGE,20000.0,18.73,0.0,0,10,14032,8964,1,1,,10,1,2000,9,9,5,0,100.0,debt_consolidation,5400,36,15.05,187.33,C,Feb-2018,4912.5,744.8,487.5,257.3
NY,RENT,55000.0,5.78,0.0,2,5,12500,10782,1,2,2.0,5,2,9300,5,4,2,0,100.0,credit_card,6000,36,11.98,199.23,B,Feb-2018,5577.82,593.7,422.18,171.52
AL,RENT,58000.0,29.4,0.0,4,24,112617,70371,6,11,1.0,24,4,16300,20,18,12,0,100.0,credit_card,7400,36,13.59,251.45,C,Jan-2018,6542.57,1251.66,857.43,394.23
MD,RENT,17000.0,22.67,0.0,2,5,28781,11931,1,3,2.0,5,1,16300,13,4,2,0,100.0,debt_consolidation,8000,36,14.08,273.74,C,Feb-2018,7267.74,1082.44,732.26,350.18
IL,RENT,110000.0,21.34,20.0,1,10,74254,45673,1,2,6.0,10,2,7300,18,7,3,1,88.5,other,12000,60,14.07,279.66,C,Mar-2018,11578.21,829.6,421.79,407.81
OH,OWN,42000.0,16.65,46.0,5,3,31750,25340,1,2,6.0,3,2,10600,6,2,2,0,87.5,debt_consolidation,10000,36,16.01,351.62,C,Mar-2018,9336.62,1037.07,663.38,373.69
CA,RENT,25000.0,14.31,0.0,1,7,16900,7688,0,2,2.0,7,7,16900,8,7,7,0,100.0,debt_consolidation,9500,36,9.93,306.23,B,Jan-2018,8342.92,1525.91,1157.08,368.83
MD,OWN,118000.0,14.22,41.0,2,9,89086,57467,3,5,8.0,9,3,26000,17,6,6,2,82.8,home_improvement,15000,60,12.61,338.31,C,Feb-2018,14452.23,1004.42,547.77,456.65
CO,RENT,33000.0,29.67,18.0,0,10,68845,32550,1,3,,10,1,8000,17,9,3,0,92.6,credit_card,14000,60,14.08,326.34,C,Feb-2018,13340.21,1294.41,659.79,634.62
MI,MORTGAGE,32248.24,24.71,0.0,2,10,113286,24243,1,5,10.0,10,4,18900,17,8,7,3,100.0,credit_card,10000,60,16.02,243.29,C,Jan-2018,9551.96,990.67,448.04,542.63
GA,MORTGAGE,87500.0,17.59,0.0,2,15,63500,42419,1,10,10.0,15,8,21000,19,14,11,1,100.0,debt_consolidation,35000,60,19.03,908.5,D,Jan-2018,33175.76,4449.99,1824.24,2625.75
FL,MORTGAGE,275000.0,4.57,24.0,1,29,88012,51415,2,9,2.0,29,9,29400,40,27,16,0,92.9,credit_card,12000,36,10.91,392.36,B,Jan-2018,10557.71,1998.17,1442.29,555.88
NJ,RENT,55000.0,19.45,0.0,1,28,101185,64074,15,9,0.0,28,4,33700,15,13,7,0,100.0,debt_consolidation,23000,60,18.06,584.8,D,Jan-2018,21770.29,2900.92,1229.71,1671.21
KS,RENT,52000.0,14.49,0.0,0,7,83406,45646,5,0,,7,1,25700,3,2,1,0,100.0,credit_card,10000,36,5.31,301.11,A,Feb-2018,6885.28,3238.38,3114.72,123.66
IL,MORTGAGE,78000.0,13.23,16.0,3,18,321681,31217,0,3,2.0,18,4,69700,19,16,4,3,94.1,debt_consolidation,40000,60,11.98,889.38,B,Mar-2018,38515.13,2614.9,1484.87,1130.03
TX,RENT,70090.0,32.77,0.0,1,11,108144,60877,2,3,1.0,11,4,41900,10,9,7,0,100.0,other,20000,36,21.85,762.26,D,Mar-2018,18783.84,2116.84,1216.16,900.68
NY,MORTGAGE,65000.0,25.01,50.0,1,22,260519,26636,2,13,2.0,22,7,13100,30,19,17,5,82.1,credit_card,10000,36,7.35,310.38,A,Jan-2018,8739.0,1547.82,1261.0,286.82
CA,OWN,78000.0,20.28,81.0,1,14,380438,39906,2,6,6.0,14,5,40500,15,11,7,5,96.0,credit_card,15000,36,6.08,456.88,A,Feb-2018,13464.86,1817.39,1535.14,282.25
FL,OWN,94000.0,17.78,19.0,7,15,70211,33017,3,10,3.0,15,4,13100,13,12,7,0,82.6,debt_consolidation,8000,36,16.01,281.3,C,Mar-2018,7469.28,836.78,530.72,306.06
MA,RENT,24000.0,4.4,0.0,2,2,16750,11564,1,5,5.0,2,0,3500,7,1,0,0,100.0,moving,6025,36,10.9,196.97,B,Mar-2018,5882.76,189.67,142.24,47.43
NY,RENT,90000.0,3.92,0.0,6,18,85911,17063,1,17,1.0,18,9,68200,19,16,11,0,100.0,major_purchase,30000,36,7.35,931.13,A,Jan-2018,26982.9,3724.52,3017.1,707.42
OR,MORTGAGE,120000.0,16.53,41.0,0,11,637272,37181,1,2,23.0,11,5,55600,10,8,6,2,85.7,home_improvement,35000,36,6.72,1076.23,A,Jan-2018,31449.39,4291.85,3550.61,741.24
NC,MORTGAGE,179000.0,11.08,14.0,1,13,394839,73526,2,2,9.0,13,6,13300,18,10,7,1,77.8,debt_consolidation,12000,36,9.92,386.76,B,Mar-2018,11130.17,1163.59,869.83,293.76
NY,RENT,45240.0,18.36,27.0,0,8,33899,14894,1,1,,8,4,6700,8,7,7,0,77.8,other,15000,60,21.45,409.61,D,Feb-2018,14419.49,1567.96,580.51,987.45
OH,MORTGAGE,125000.0,21.34,20.0,8,11,256890,76949,4,2,1.0,11,5,25900,11,5,5,3,84.4,debt_consolidation,20000,36,20.0,743.28,D,Jan-2018,17880.79,3694.18,2119.21,1574.97
WI,OWN,43000.0,25.76,27.0,0,4,89418,61003,2,0,,4,0,0,7,2,2,0,50.0,other,1600,36,10.9,52.31,B,Mar-2018,1485.81,155.96,114.19,41.77
KY,OWN,62000.0,21.93,15.0,1,6,51792,28548,3,3,6.0,6,3,7100,3,3,3,0,85.7,debt_consolidation,6000,36,13.58,203.85,C,Feb-2018,5446.9,806.35,553.1,253.25
NY,OWN,200000.0,5.36,17.0,4,12,49429,27738,2,9,1.0,12,6,25900,13,10,8,0,89.5,major_purchase,30000,60,21.85,826.02,D,Mar-2018,29145.31,2405.23,854.69,1550.54
